timestamp,test-class,test-method,time,description,result
2021-06-06 12:50:41.108,acme.testing.administrator.userAccount.AdministratorUserAccountsUpdateTest,updatePositive,6584,"[1] recordIndex=2, username=manager, name=Manager, surname=Acme.com, email=manager01@acme.com, status=ENABLED, newStatus=DISABLED",OK
2021-06-06 12:50:47.892,acme.testing.administrator.userAccount.AdministratorUserAccountsUpdateTest,updatePositive,6564,"[2] recordIndex=2, username=manager, name=Manager, surname=Acme.com, email=manager01@acme.com, status=DISABLED, newStatus=KEEP",OK
2021-06-06 12:50:54.658,acme.testing.administrator.userAccount.AdministratorUserAccountsUpdateTest,updatePositive,6565,"[3] recordIndex=2, username=manager, name=Manager, surname=Acme.com, email=manager01@acme.com, status=DISABLED, newStatus=ENABLED",OK
2021-06-06 12:51:07.303,acme.testing.administrator.userAccount.AdministratorUserAccountsListTest,list,4797,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, status=DISABLED",OK
2021-06-06 12:51:12.274,acme.testing.administrator.userAccount.AdministratorUserAccountsListTest,list,4771,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, status=ENABLED",OK
2021-06-06 12:51:17.243,acme.testing.administrator.userAccount.AdministratorUserAccountsListTest,list,4752,"[3] recordIndex=2, username=manager, name=Manager, surname=Acme.com, email=manager01@acme.com, status=ENABLED",OK
2021-06-06 12:51:29.838,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5371,"[1] recordIndex=0, title=null, start_date=null, end_date=null, workload=null, description=null, op_link=null, is_private=false",OK
2021-06-06 12:51:35.465,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5425,"[2] recordIndex=0, title=publico1, start_date=descripcion, end_date=2020/01/01 00:01, workload=2020/01/01 00:00, description=-15, op_link=null, is_private=false",OK
2021-06-06 12:51:41.078,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5411,"[3] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:01, workload=2020/01/01 00:00, description=-15, op_link=null, is_private=false",OK
2021-06-06 12:51:46.742,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5458,"[4] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:01, workload=2022/01/01 00:00, description=15, op_link=null, is_private=false",OK
2021-06-06 12:51:52.344,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5398,"[5] recordIndex=0, title=publico1, start_date=null, end_date=2022/01/01 00:00, workload=2022/01/01 00:00, description=0.0, op_link=null, is_private=false",OK
2021-06-06 12:51:57.987,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5422,"[6] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:00, workload=2022/01/01 00:00, description=0.01, op_link=null, is_private=false",OK
2021-06-06 12:52:03.575,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5398,"[7] recordIndex=0, title=publico1, start_date=null, end_date=2022/01/01 00:00, workload=2022/01/01 01:00, description=1.01, op_link=null, is_private=false",OK
